entry_time,exit_time,side,entry,exit,final_stop,pips
2020-09-23 13:02:00+00:00,2020-09-23 13:26:00+00:00,long,1883.02002,1882.5225866285398,1882.5225866285398,-49.74333714601471
2020-09-23 15:43:00+00:00,2020-09-23 16:37:00+00:00,short,1866.23999,1866.075329327194,1866.075329327194,16.46606728061215
2020-09-24 13:28:00+00:00,2020-09-24 13:34:00+00:00,long,1858.10999,1854.1269286812512,1854.1269286812512,-398.3061318748696
2020-09-24 13:42:00+00:00,2020-09-24 13:48:00+00:00,short,1853.62,1857.926677843478,1857.926677843478,-430.66778434781554
2020-09-24 15:02:00+00:00,2020-09-24 16:30:00+00:00,long,1860.26001,1868.844851609028,1868.844851609028,858.484160902799
2020-09-28 14:15:00+00:00,2020-09-28 14:37:00+00:00,long,1870.76001,1868.5556515189821,1868.5556515189821,-220.43584810178345
2020-09-29 13:16:00+00:00,2020-09-29 13:24:00+00:00,short,1881.83997,1885.5484034718595,1885.5484034718595,-370.84334718595073
2020-09-29 13:27:00+00:00,2020-09-29 13:57:00+00:00,long,1886.66003,1885.3458501414532,1885.3458501414532,-131.41798585468223
2020-09-29 15:50:00+00:00,2020-09-29 16:12:00+00:00,short,1890.030029,1892.1923768404986,1892.1923768404986,-216.2347840498569
2020-09-30 14:38:00+00:00,2020-09-30 14:48:00+00:00,short,1885.10999,1889.2964354444457,1889.2964354444457,-418.64454444457806
2020-09-30 15:42:00+00:00,2020-09-30 16:37:00+00:00,short,1897.40002,1897.1465133398353,1897.1465133398353,25.350666016470313
2020-10-01 13:40:00+00:00,2020-10-01 13:47:00+00:00,long,1906.26001,1902.2413911701458,1902.2413911701458,-401.86188298541765
2020-10-01 14:51:00+00:00,2020-10-01 16:02:00+00:00,long,1902.82996,1908.065891768128,1908.065891768128,523.5931768128012
2020-10-02 15:40:00+00:00,2020-10-02 16:12:00+00:00,short,1903.59998,1902.2188602734018,1902.2188602734018,138.11197265981718
2020-10-05 13:36:00+00:00,2020-10-05 14:38:00+00:00,long,1909.93994,1911.6170860889865,1911.6170860889865,167.71460889865466
2020-10-05 14:42:00+00:00,2020-10-05 14:54:00+00:00,short,1910.70996,1914.600532473956,1914.600532473956,-389.05724739561265
2020-10-05 14:56:00+00:00,2020-10-05 15:10:00+00:00,long,1917.26001,1913.334738441483,1913.334738441483,-392.5271558516897
2020-10-06 14:09:00+00:00,2020-10-06 14:15:00+00:00,long,1918.01001,1913.7676028746355,1913.7676028746355,-424.240712536448
2020-10-06 15:03:00+00:00,2020-10-06 18:08:00+00:00,short,1911.15002,1902.1856358138243,1902.1856358138243,896.4384186175721
2020-10-07 13:07:00+00:00,2020-10-07 13:31:00+00:00,short,1888.030029,1888.5158832022755,1888.5158832022755,-48.58542022755046
