feature,mutual_info,corr,auc,is_secondary
side_x_body,0.04862344174553934,0.021153610158835403,0.5137081636130454,False
entry_body_pct,0.03789571508538847,0.25679259580957303,0.658042690627233,False
side_encoded,0.01897496809266408,0.021596271978775915,0.5112553563126832,False
recent_body_atr,0.018875349301532562,-0.014808255019132585,0.48975472628199157,False
atr14,0.013271979226094466,0.031525236862262676,0.5291780991935466,False
entry_lower_wick_pct,0.009573390861845832,-0.15780829434393803,0.41205619999985976,False
entry_upper_wick_pct,0.006241628184258552,-0.16656811501149374,0.3998191598048132,False
entry_range_atr,0.005495311452967,0.10234489943291228,0.5484930801804335,False
relevant_wick,0.005399782557741206,-0.07854757860394702,0.45113002332901625,False
hour,0.0,0.030674416339726087,0.5174441719882115,False
dow,0.0,0.002368261873295659,0.5017267118287998,False
recent_range_atr,0.0,-0.015564919438110246,0.488009432579704,False
entry_dist_stop_atr,0.0,0.0348536842021245,0.5111806782173463,False
recent_momentum,0.0,0.0031342509778736244,0.5036595772728962,False
side_x_relevant_wick,0.0,0.020716716287773822,0.5147038715508712,False
