timeframe,up_count,total_trades,wins,losses,win_rate,total_pips,avg_trade,avg_win,avg_loss,best_trade,worst_trade,profit_factor,max_drawdown,start,end,file
combo_15m_1h_1m_30m_4h_5m,4,4,2,2,0.5,-294.81483323249904,-73.70370830812476,128.28595879667546,-275.693375412925,158.0869808750549,-307.50265144488367,0.46532115109596933,-307.50265144488367,2023-11-29T13:23:00+00:00,2024-09-16T15:34:00+00:00,results/trends/combo_15m_1h_1m_30m_4h_5m/trades_simple_up_buy_only.csv
combo_15m_1h_1m_30m_4h_5m,5,41,13,28,0.3170731707317073,-891.3545787330122,-21.740355578853958,353.84534549138885,-196.1194310757524,1397.0933320608538,-484.3292388402915,0.8376800711536255,-2747.196787077428,2020-04-13T13:04:00+00:00,2025-10-01T15:45:00+00:00,results/trends/combo_15m_1h_1m_30m_4h_5m/trades_simple_up_buy_only.csv
combo_15m_1h_1m_30m_4h_5m,6,261,88,173,0.3371647509578544,4946.48870797696,18.952064015237394,451.5760738487317,-201.11101613127997,3165.764046690515,-489.9587744447217,1.1421723226670937,-4390.646733092717,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1h_1m_30m_4h_5m/trades_simple_up_buy_only.csv
combo_15m_1m,2,448,163,285,0.3638392857142857,9061.056651766763,20.225572883407953,399.5018854826076,-196.69386204174825,3165.764046690515,-503.8560823264106,1.1616378920228905,-6040.171669315806,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m/trades_simple_up_buy_only.csv
combo_15m_1m_5m,3,419,148,271,0.3532219570405728,8873.757396132942,21.178418606522534,417.4647510598182,-195.2436374934323,3165.764046690515,-503.8560823264106,1.1677109311065483,-6829.889051087458,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m_5m/trades_simple_up_buy_only.csv
combo_15m_1m_k1of2,1,428,165,263,0.3855140186915888,231.2210527055413,0.5402361044521993,307.9450230975707,-192.31828045016584,1780.6700991141042,-517.0834778977905,1.0045714193093014,-8893.138919462854,2020-04-07T13:51:00+00:00,2025-10-03T13:11:00+00:00,results/trends/combo_15m_1m_k1of2/trades_simple_up_buy_only.csv
combo_15m_1m_k1of2,2,448,164,284,0.36607142857142855,9508.463477992156,21.22424883480392,397.77043960918604,-196.21791766871252,3165.764046690515,-503.8560823264106,1.1706291943263054,-5592.764843090414,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m_k1of2/trades_simple_up_buy_only.csv
combo_15m_1m_k2of2,2,448,163,285,0.3638392857142857,9061.056651766763,20.225572883407953,399.5018854826076,-196.69386204174825,3165.764046690515,-503.8560823264106,1.1616378920228905,-6040.171669315806,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m_k2of2/trades_simple_up_buy_only.csv
