entry_time,exit_time,side,entry,exit,final_stop,pips
2020-08-06 14:59:00+00:00,2020-08-06 15:06:00+00:00,long,2060.87988,2056.281519942751,2056.281519942751,-459.83600572490104
2020-08-18 13:34:00+00:00,2020-08-18 13:54:00+00:00,long,2014.10999,2010.5582689852613,2010.5582689852613,-355.1721014738632
2020-09-15 13:05:00+00:00,2020-09-15 13:23:00+00:00,long,1969.38,1966.750054787906,1966.750054787906,-262.99452120940714
2020-10-06 14:09:00+00:00,2020-10-06 14:15:00+00:00,long,1918.01001,1913.7676028746355,1913.7676028746355,-424.240712536448
2020-10-19 15:04:00+00:00,2020-10-19 15:09:00+00:00,long,1909.66003,1908.0971159810526,1908.0971159810526,-156.29140189473674
2020-10-19 15:50:00+00:00,2020-10-19 17:21:00+00:00,long,1907.40002,1909.382580945151,1909.382580945151,198.2560945150908
2020-10-23 15:07:00+00:00,2020-10-23 15:25:00+00:00,long,1900.94995,1897.8246066029365,1897.8246066029365,-312.5343397063489
2020-11-05 14:40:00+00:00,2020-11-05 15:30:00+00:00,long,1931.40002,1942.6290873654075,1942.6290873654075,1122.9067365407445
2020-11-06 13:11:00+00:00,2020-11-06 13:30:00+00:00,long,1953.28003,1952.4629243953398,1952.4629243953398,-81.7105604660128
2020-11-06 15:52:00+00:00,2020-11-06 16:50:00+00:00,long,1948.98999,1950.665386902488,1950.665386902488,167.53969024880462
2020-12-17 13:18:00+00:00,2020-12-17 13:22:00+00:00,long,1882.069946,1879.064608339751,1879.064608339751,-300.5337660249097
2020-12-17 13:32:00+00:00,2020-12-17 14:56:00+00:00,long,1880.54004,1891.0891338784456,1891.0891338784456,1054.9093878445547
2020-12-24 13:07:00+00:00,2020-12-24 13:18:00+00:00,long,1876.34998,1874.2587340626199,1874.2587340626199,-209.12459373801084
2020-12-31 13:17:00+00:00,2020-12-31 14:28:00+00:00,long,1897.12,1896.9958600158404,1896.9958600158404,-12.41399841594557
2020-12-31 15:09:00+00:00,2020-12-31 15:43:00+00:00,long,1897.55005,1898.0553001572446,1898.0553001572446,50.525015724451805
2021-01-05 13:56:00+00:00,2021-01-05 14:04:00+00:00,long,1951.050049,1947.8473086366064,1947.8473086366064,-320.2740363393559
2021-01-21 14:14:00+00:00,2021-01-21 14:45:00+00:00,long,1864.43005,1864.074214868853,1864.074214868853,-35.58351311469323
2021-01-29 13:16:00+00:00,2021-01-29 13:29:00+00:00,long,1869.35999,1865.5701998359905,1865.5701998359905,-378.9790164009446
2021-01-29 13:39:00+00:00,2021-01-29 14:28:00+00:00,long,1870.53003,1870.8058312766898,1870.8058312766898,27.580127668989007
