feature,mutual_info,corr,auc,is_secondary
entry_dist_stop_atr,0.017858957716865742,0.030776155978627446,0.5175949305844315,False
atr14_5m,0.015599574959024087,0.028421831292932107,0.5248664033416519,False
is_overlap,0.012889083513403454,,0.5,False
is_ny,0.012125510027344744,,0.5,False
relevant_wick,0.008209772642526536,-0.040238727885230016,0.47725753985811864,False
macd_hist,0.007967446937347855,0.011463716440932314,0.5076469668422245,False
recent_range_atr,0.0069462934426300915,-0.007635424843231843,0.495623442891592,False
momentum_10,0.006762912887524175,0.008958901759365189,0.5028721265586862,False
entry_lower_wick_pct,0.006592985434234366,-0.03722813788930233,0.4753362442597787,False
above_ema200,0.006213917800973245,0.00588716148521577,0.5030603995032679,False
recent_body_atr,0.00511404904612256,-5.7141501432251394e-05,0.4970623109820274,False
bb_pct,0.005033683781286324,0.013595361115683045,0.5067550369148199,False
side_x_relevant_wick,0.0034178856787467904,0.0050408156133616945,0.507719541329242,False
dow,0.003112246169389321,0.002368261873295659,0.5017267118287998,False
entry_upper_wick_pct,0.002192456364070283,-0.007108350780839381,0.4924476955321463,False
dist_ema50_atr,0.0011036466346174834,0.00993782141405884,0.508646881996689,False
hour,0.0,0.030674416339726087,0.5174441719882115,False
is_london,0.0,,0.5,False
side_encoded,0.0,0.021596271978775915,0.5112553563126832,False
atr_pct,0.0,-0.009819988501388365,0.4936509594908146,False
entry_body_pct,0.0,0.036298275270822834,0.5215966948106086,False
dist_ema20_atr,0.0,0.03035315495374662,0.517237317170142,False
momentum_3,0.0,0.003618452366135645,0.5052804074829556,False
bb_width,0.0,0.034567861895072084,0.5245459536743375,False
rsi14,0.0,0.009939596427246995,0.5076511740588632,False
rsi30,0.0,-0.0006538425965706735,0.49669242651920836,False
entry_range_atr,0.0,0.010324715981730999,0.5052095860028707,False
atr14,0.0,0.04034257504783845,0.526365224269189,False
above_ema50,0.0,-0.0011974335521307794,0.4993762801333126,False
recent_momentum,0.0,0.019953120413620604,0.5104005901322538,False
dist_ema200_atr,0.0,-0.002945649789501681,0.5023115149415793,False
above_ema20,0.0,0.016444735315336228,0.5085701002930326,False
rsi14_5m,0.0,-0.019729384356410896,0.4884788878363056,False
minutes_since_last,0.0,-0.0171364388992388,0.4826403229459492,False
side_x_body,0.0,0.018615663019862602,0.5110144931601176,False
side_x_rsi,0.0,0.023431632787424606,0.5164519700642513,False
side_x_macd,0.0,0.039607966471293665,0.5246139703433299,False
