Weekday,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,510.0,2.0,508.0,0.3562992125984252,-3094.0,0.9330838938512447,-6.066666666666666
Tuesday,502.0,1.0,501.0,0.36127744510978044,12989.0,1.240697502038396,25.874501992031874
Wednesday,499.0,0.0,499.0,0.3466933867735471,4630.0,1.0932941081647458,9.278557114228457
Thursday,494.0,2.0,492.0,0.3719512195121951,5115.0,1.1047790728639613,10.354251012145749
Friday,480.0,0.0,480.0,0.36041666666666666,11927.0,1.2430609333605054,24.847916666666666
Saturday,5.0,0.0,5.0,0.0,-142.0,0.0,-28.4
