Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
13,484.0,3.0,481.0,0.35343035343035345,18745.0,1.375267762407159,38.72933884297521
14,403.0,1.0,402.0,0.3706467661691542,5913.0,1.1473718316177755,14.672456575682382
15,382.0,0.0,382.0,0.38481675392670156,-874.0,0.9729311199207136,-2.287958115183246
