Weekday,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,251.0,1.0,250.0,0.344,1749.0,1.070732397783799,6.968127490039841
Tuesday,220.0,0.0,220.0,0.3409090909090909,1620.0,1.0741622413477385,7.363636363636363
Wednesday,218.0,0.0,218.0,0.3211009174311927,-9762.0,0.5523250481518848,-44.77981651376147
Thursday,218.0,1.0,217.0,0.35023041474654376,-4118.0,0.8283952160686753,-18.889908256880734
Friday,196.0,0.0,196.0,0.29591836734693877,-4200.0,0.8248175182481752,-21.428571428571427
Saturday,1.0,0.0,1.0,0.0,-12.0,0.0,-12.0
Sunday,2.0,0.0,2.0,0.5,216.0,4.375,108.0
