entry_time,pips,final_stop,side
2015-01-02 13:19,154.00896069520513,1174.180910393048,short
2015-01-02 13:49,-314.4926811934738,1172.0470731880653,long
2015-01-02 14:05,-183.26200996241369,1172.904620099624,short
2015-01-02 15:02,1368.3811540232,1186.595811540232,long
2015-01-05 13:30,317.7829808965953,1198.7688298089658,long
2015-01-05 15:47,91.65300366375959,1197.0944699633624,short
2015-01-08 15:56,-108.26666647378715,1213.9236666647378,short
2015-01-12 13:09,47.723759290602175,1222.865237592906,long
2015-01-14 14:26,-319.12841372097773,1241.9092841372099,short
2015-01-22 14:35,44.524866596498214,1297.946751334035,short
2015-01-26 13:08,-117.12847240098654,1283.7792847240098,short
2015-01-26 13:23,-60.87782034160227,1284.4152217965839,long
2015-01-27 13:17,-101.38967584796319,1282.7348967584796,short
2015-01-29 13:17,-254.41368234792208,1269.4278631765208,long
2015-01-29 14:17,-54.06721815272704,1270.3496721815272,short
2015-01-29 14:45,-114.66012295852579,1270.0613987704148,long
2015-01-29 15:05,1354.7011014531336,1256.6519889854687,short
2015-01-30 13:34,-276.74735279301785,1261.8575264720698,long
2015-01-30 14:11,-193.58713474025535,1263.7358713474025,short
2015-02-04 13:05,-251.56405376330895,1269.3676405376332,short
2015-02-05 15:11,-62.17469570203775,1260.3022530429796,long
2015-02-06 13:02,-321.13269366807344,1262.6676730633192,long
2015-02-06 13:10,1746.7242518701596,1243.7717574812984,short
2015-02-10 15:38,-221.58484925682842,1236.2521515074318,long
2015-02-11 13:07,144.70534683728147,1234.5519465316272,short
2015-02-12 14:54,140.58416963860054,1222.749158303614,short
2015-02-13 13:58,-134.76895191336098,1229.2466895191335,short
2015-02-13 14:21,214.55976654951883,1231.6535976654952,long
2015-02-17 13:18,5.35652206604027,1222.6945652206605,long
2015-02-17 14:12,1350.2321839967408,1207.8346781600326,short
2015-02-17 15:49,-221.96063907147163,1205.9363936092852,long
2015-02-18 13:07,-79.18938464317762,1206.7598938464319,short
2015-02-18 14:54,785.9931038776267,1199.9780689612237,short
2015-02-20 14:03,-18.260719368345235,1210.4736071936834,short
2015-02-20 14:36,-41.95383226137892,1210.2794616773863,long
2015-02-23 14:36,582.4075350203657,1206.8370753502036,long
2015-02-23 15:47,413.1841857427162,1200.9171581425728,short
2015-02-24 13:11,-111.17986360325176,1200.3237986360325,short
2015-02-24 13:30,-167.33126194653778,1198.9656873805345,long
2015-02-27 13:38,-18.807365990255676,1209.8570736599027,short
2015-02-27 14:18,-253.57511080133008,1213.3032488919866,long
2015-02-27 15:06,-226.22779478376742,1215.5402779478377,short
2015-03-03 13:07,17.217309633383593,1207.5968269036662,short
2015-03-04 13:23,-258.96696262402656,1204.5383303737597,long
2015-03-04 14:32,-150.307387054454,1204.3579261294556,long
2015-03-04 14:48,201.27081223517962,1202.4362918776483,short
2015-03-05 13:07,-149.1843050640682,1202.0271569493593,long
2015-03-05 13:57,-165.19068456684636,1203.7879068456684,short
2015-03-05 15:22,262.4514349762876,1205.803514349763,long
2015-03-06 13:05,-67.01306504733111,1196.9401306504733,short
2015-03-06 13:15,-113.30444227262433,1195.5759555772738,long
2015-03-06 15:05,-156.81572868077183,1176.7361572868076,short
2015-03-06 15:53,-168.57752408539,1175.1942247591462,long
2015-03-10 13:33,-46.74861375228829,1168.350513862477,long
2015-03-10 13:55,56.53003895772599,1167.2526996104227,short
2015-03-10 14:37,-128.56328028253756,1166.3123671971746,long
2015-03-10 15:45,-158.54215446183844,1163.4255784553816,long
2015-03-10 15:57,265.65217766803926,1160.1864782233197,short
2015-03-11 13:02,-110.11720131541551,1158.2078279868458,long
2015-03-11 13:25,490.0704171149755,1153.1702958288502,short
2015-03-12 13:43,167.50409631290495,1154.1259590368709,short
2015-03-12 15:20,-168.21008151352999,1152.9558991848646,long
2015-03-13 13:16,-64.47157640116075,1158.1037157640117,short
2015-03-13 13:59,264.688554474219,1153.3741144552578,short
2015-03-13 15:42,-89.33632938021674,1152.9156367061978,long
2015-03-16 13:54,388.2751579659498,1152.7002484203406,short
2015-03-17 14:44,196.53125515867487,1152.6006874484133,short
2015-03-18 13:02,21.552457466214037,1148.813524574662,long
2015-03-30 13:23,71.95021127242853,1185.7995021127242,long
2015-03-30 13:57,-76.976930485921,1186.6087693048592,short
2015-03-30 14:12,-158.76680795702214,1185.7803319204297,long
2015-03-30 14:51,-74.0378707977925,1185.969378707978,short
2015-03-30 15:25,-157.03357992729252,1185.1793357992728,short
2015-03-30 15:52,-44.939089606009475,1184.50860910394,long
2015-03-31 13:36,-111.73040689830032,1186.111695931017,long
2015-04-01 15:06,-103.29710999897088,1200.7550289000103,long
2015-04-07 13:14,-143.02531525208906,1212.368253152521,short
2015-04-07 14:09,39.529873242076974,1212.3112987324207,long
2015-04-08 14:38,-133.0310383816368,1206.3176896161835,long
2015-04-08 14:44,171.7387842121525,1204.4046121578785,short
2015-04-09 14:02,-88.19460974159483,1194.347053902584,long
2015-04-09 14:35,-191.7706394543984,1195.655706394544,short
2015-04-09 15:42,-36.579219151963116,1195.4747921915196,short
2015-04-13 13:26,297.2234671911792,1200.1457653280881,short
2015-04-14 14:01,231.02077848816407,1196.6022077848816,long
2015-04-14 15:28,226.83403328717304,1193.5696596671282,short
2015-04-20 13:51,-90.11748559494208,1196.1598251440505,long
2015-04-20 15:31,-143.30921926000428,1193.5630921926002,short
2015-04-20 15:41,140.48062014326206,1194.7068062014325,long
2015-04-23 13:18,-68.60681187324644,1189.0740681187324,short
2015-04-23 14:22,381.6027280391381,1192.0890272803913,long
