entry_time,exit_time,side,entry,exit,final_stop,pips
2015-01-02 13:19:00+00:00,2015-01-02 13:47:00+00:00,short,1175.721,1174.180910393048,1174.180910393048,154.00896069520513
2015-01-02 13:49:00+00:00,2015-01-02 14:02:00+00:00,long,1175.192,1172.0470731880653,1172.0470731880653,-314.4926811934738
2015-01-02 14:05:00+00:00,2015-01-02 15:00:00+00:00,short,1171.072,1172.904620099624,1172.904620099624,-183.26200996241369
2015-01-02 15:02:00+00:00,2015-01-02 15:55:00+00:00,long,1172.912,1186.595811540232,1186.595811540232,1368.3811540232
2015-01-05 13:30:00+00:00,2015-01-05 15:45:00+00:00,long,1195.591,1198.7688298089658,1198.7688298089658,317.7829808965953
2015-01-05 15:47:00+00:00,2015-01-05 17:03:00+00:00,short,1198.011,1197.0944699633624,1197.0944699633624,91.65300366375959
2015-01-08 15:56:00+00:00,2015-01-08 16:28:00+00:00,short,1212.841,1213.9236666647378,1213.9236666647378,-108.26666647378715
2015-01-12 13:09:00+00:00,2015-01-12 14:11:00+00:00,long,1222.388,1222.865237592906,1222.865237592906,47.723759290602175
2015-01-14 14:26:00+00:00,2015-01-14 14:31:00+00:00,short,1238.718,1241.9092841372099,1241.9092841372099,-319.12841372097773
2015-01-22 14:35:00+00:00,2015-01-22 15:05:00+00:00,short,1298.392,1297.946751334035,1297.946751334035,44.524866596498214
2015-01-26 13:08:00+00:00,2015-01-26 13:20:00+00:00,short,1282.608,1283.7792847240098,1283.7792847240098,-117.12847240098654
2015-01-26 13:23:00+00:00,2015-01-26 14:08:00+00:00,long,1285.024,1284.4152217965839,1284.4152217965839,-60.87782034160227
2015-01-27 13:17:00+00:00,2015-01-27 13:32:00+00:00,short,1281.721,1282.7348967584796,1282.7348967584796,-101.38967584796319
2015-01-29 13:17:00+00:00,2015-01-29 13:44:00+00:00,long,1271.972,1269.4278631765208,1269.4278631765208,-254.41368234792208
2015-01-29 14:17:00+00:00,2015-01-29 14:41:00+00:00,short,1269.809,1270.3496721815272,1270.3496721815272,-54.06721815272704
2015-01-29 14:45:00+00:00,2015-01-29 15:03:00+00:00,long,1271.208,1270.0613987704148,1270.0613987704148,-114.66012295852579
