Month,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
January,35.0,0.0,35.0,0.4,3276.0,1.8408624229979467,93.6
February,20.0,0.0,20.0,0.4,2357.0,2.528534370946822,117.85
October,18.0,1.0,17.0,0.35294117647058826,3214.0,3.258608573436402,178.55555555555554
December,30.0,0.0,30.0,0.4,4843.0,3.132540730955526,161.43333333333334
