entry_time,exit_time,side,entry,exit,final_stop,pips
2020-07-03 15:55:00+00:00,2020-07-03 16:06:00+00:00,long,1775.56006,1774.9742687101552,1774.9742687101552,-58.57912898447921
2020-07-06 14:55:00+00:00,2020-07-06 15:43:00+00:00,long,1783.31995,1783.3127078089365,1783.3127078089365,-0.7242191063596692
2020-07-10 15:44:00+00:00,2020-07-10 15:57:00+00:00,long,1799.92004,1797.8007099326546,1797.8007099326546,-211.9330067345345
2020-07-13 15:57:00+00:00,2020-07-13 17:39:00+00:00,long,1807.53003,1810.606734696816,1810.606734696816,307.6704696816023
2020-07-17 14:34:00+00:00,2020-07-17 15:07:00+00:00,long,1808.5,1808.4536100576197,1808.4536100576197,-4.638994238030136
2020-07-20 14:33:00+00:00,2020-07-20 14:44:00+00:00,long,1817.52002,1817.5390821070746,1817.5390821070746,1.9062107074660162
2020-07-21 15:07:00+00:00,2020-07-21 15:37:00+00:00,long,1838.68005,1838.593913452181,1838.593913452181,-8.613654781902369
2020-07-22 13:40:00+00:00,2020-07-22 14:01:00+00:00,long,1853.76001,1853.6205302130516,1853.6205302130516,-13.947978694841368
2020-07-22 15:15:00+00:00,2020-07-22 16:37:00+00:00,long,1857.57996,1867.2043347801962,1867.2043347801962,962.4374780196149
2020-07-24 15:47:00+00:00,2020-07-24 16:36:00+00:00,long,1900.68994,1899.2954636277618,1899.2954636277618,-139.44763722381595
2020-08-06 14:59:00+00:00,2020-08-06 15:06:00+00:00,long,2060.87988,2056.281519942751,2056.281519942751,-459.83600572490104
2020-08-18 13:34:00+00:00,2020-08-18 13:54:00+00:00,long,2014.10999,2010.5582689852613,2010.5582689852613,-355.1721014738632
2020-08-24 14:09:00+00:00,2020-08-24 14:30:00+00:00,long,1942.18994,1940.3835324300521,1940.3835324300521,-180.64075699478508
2020-08-24 15:39:00+00:00,2020-08-24 15:58:00+00:00,long,1933.75,1930.4725304646283,1930.4725304646283,-327.7469535371665
2020-09-15 13:05:00+00:00,2020-09-15 13:23:00+00:00,long,1969.38,1966.750054787906,1966.750054787906,-262.99452120940714
2020-09-28 14:15:00+00:00,2020-09-28 14:37:00+00:00,long,1870.76001,1868.5556515189821,1868.5556515189821,-220.43584810178345
2020-09-29 13:27:00+00:00,2020-09-29 13:57:00+00:00,long,1886.66003,1885.3458501414532,1885.3458501414532,-131.41798585468223
2020-10-01 13:40:00+00:00,2020-10-01 13:47:00+00:00,long,1906.26001,1902.2413911701458,1902.2413911701458,-401.86188298541765
2020-10-01 14:51:00+00:00,2020-10-01 16:02:00+00:00,long,1902.82996,1908.065891768128,1908.065891768128,523.5931768128012
2020-10-05 13:36:00+00:00,2020-10-05 14:38:00+00:00,long,1909.93994,1911.6170860889865,1911.6170860889865,167.71460889865466
2020-10-05 14:56:00+00:00,2020-10-05 15:10:00+00:00,long,1917.26001,1913.334738441483,1913.334738441483,-392.5271558516897
2020-10-06 14:09:00+00:00,2020-10-06 14:15:00+00:00,long,1918.01001,1913.7676028746355,1913.7676028746355,-424.240712536448
2020-10-16 13:30:00+00:00,2020-10-16 13:33:00+00:00,long,1909.85999,1906.4578006830907,1906.4578006830907,-340.21893169092436
