Weekday,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,227.0,0.0,227.0,0.3700440528634361,3278.0,1.1612236867991343,14.440528634361234
Tuesday,236.0,0.0,236.0,0.3940677966101695,5007.0,1.223966720343532,21.216101694915253
Wednesday,218.0,0.0,218.0,0.3486238532110092,-3591.0,0.8399161911554922,-16.472477064220183
Thursday,228.0,0.0,228.0,0.3333333333333333,-5001.0,0.7955855303494789,-21.93421052631579
Friday,199.0,0.0,199.0,0.3768844221105528,6568.0,1.3001553788501965,33.005025125628144
Saturday,1.0,0.0,1.0,1.0,48.0,inf,48.0
Sunday,1.0,0.0,1.0,0.0,-72.0,0.0,-72.0
