entry_time,pips,final_stop,side
2020-04-06 13:45,413.34828946858124,1647.023492894686,long
2020-04-07 13:51,484.10956374073066,1653.2711456374072,long
2020-04-08 15:28,-312.05510347599557,1648.40947896524,long
2020-04-09 13:45,-287.2713274137368,1680.8672767258627,long
2020-04-09 14:37,-247.11652812604825,1675.5788837187395,long
2020-04-09 14:57,-339.3905240333652,1679.4560747596663,long
2020-04-09 15:57,150.66703203635825,1684.0567203203636,long
2020-04-13 13:04,-353.1271717062282,1688.1686782829377,long
2020-04-13 14:07,1397.0933320608538,1706.8709533206086,long
2020-04-17 14:53,-171.64571128762418,1688.1135028871238,long
2020-04-17 15:16,-154.98041215594185,1691.8702358784406,long
2020-04-21 14:53,-322.67455033852457,1682.7033044966147,long
2020-04-23 13:36,-282.6328566620532,1728.7936714333794,long
2020-04-23 14:05,-79.07010321903272,1733.5892989678098,long
2020-04-23 15:12,-117.9418780952119,1736.3506112190478,long
2020-04-27 13:06,-135.14147189657706,1719.7785852810343,long
2020-04-28 13:26,-239.37771780151706,1710.486222821985,long
2020-04-28 14:08,92.32459816332721,1700.5132159816333,long
2020-04-29 15:26,-110.5474012296554,1702.8644959877035,long
2020-05-04 13:12,301.35316063988284,1705.2535216063989,long
2020-05-04 15:45,37.917655737874156,1706.1592065573786,long
2020-05-05 13:12,351.1031259637548,1701.0610812596376,long
2020-05-06 14:48,-198.31149842600553,1687.58683501574,long
2020-05-07 13:36,-154.7782975248765,1695.6621770247511,long
2020-05-08 13:32,245.0269693520113,1716.71027969352,long
2020-05-08 15:04,-182.1635808110159,1713.30836419189,long
2020-05-08 15:53,-165.06074254425585,1713.9593825745574,long
2020-05-11 15:26,-123.92525999396184,1696.1007174000604,long
2020-05-12 13:21,167.76526997257406,1703.7377116997257,long
2020-05-13 14:31,-41.099586524364895,1712.5589741347565,long
2020-05-13 15:11,-65.72326813882228,1714.3727963186118,long
2020-05-14 13:33,1057.8862537137638,1729.7589125371376,long
2020-05-15 14:22,-38.350390793857514,1739.9364460920615,long
2020-05-15 15:48,11.718737025034898,1746.4172373702504,long
2020-05-18 13:30,-315.8027133241376,1745.4319428667586,long
2020-05-19 14:17,381.9013012882806,1742.7490630128827,long
2020-05-20 13:49,100.64713168017079,1749.1464813168018,long
2020-05-20 14:57,-119.58629373245913,1745.8941030626754,long
2020-05-21 13:28,-76.56493713948294,1736.5344006286052,long
2020-05-21 15:45,-33.59241964137709,1721.3040858035863,long
2020-05-25 13:59,208.43232595802874,1728.3042932595804,long
2020-05-28 14:15,-190.03244866362365,1721.4396455133638,long
2020-05-28 15:46,-4.169197654437085,1722.9482980234557,long
2020-05-29 15:25,-27.443621717043243,1734.2555937828295,long
2020-06-01 13:25,102.90790512385684,1733.5691190512387,long
2020-06-01 14:07,719.3879145674146,1739.473909145674,long
2020-06-02 14:54,-134.9016697173738,1739.3310333028262,long
2020-06-10 14:18,-192.66458740994494,1724.5034041259005,long
2020-06-12 15:53,-218.6469527219515,1733.5335004727806,long
2020-06-16 13:36,-217.7608188429076,1721.372441811571,long
2020-06-17 14:01,155.76363420318557,1726.107686342032,long
2020-06-17 15:35,-174.8436350367001,1723.901583649633,long
2020-06-18 14:44,41.932881995694515,1722.5393288199568,long
2020-06-19 13:54,62.22886755745094,1735.9023186755744,long
2020-06-19 14:35,158.40216406193122,1741.1639816406193,long
2020-06-19 15:48,-222.07909427800132,1741.62918905722,long
2020-06-24 14:12,175.6663903892786,1772.7466539038928,long
2020-06-25 14:35,-245.1298511218738,1760.5086614887812,long
2020-06-26 14:26,1358.5616483064541,1766.0655964830646,long
2020-06-29 14:29,52.76330587596476,1772.0176230587597,long
2020-06-29 15:59,-163.86845720553538,1769.9312654279447,long
2020-06-30 13:29,1340.6193356426684,1782.6461833564267,long
2020-06-30 15:55,-250.6172200925448,1781.3938477990746,long
2020-07-01 15:40,512.4159002837814,1769.9941590028377,long
2020-07-03 14:21,-122.18862372294552,1774.3281637627706,long
2020-07-03 15:55,-58.57912898447921,1774.9742687101552,long
2020-07-06 14:55,-0.7242191063596692,1783.3127078089365,long
2020-07-09 14:05,-271.1523438884342,1812.1284465611157,long
2020-07-09 14:32,-240.37041923118068,1811.7062858076881,long
2020-07-10 15:44,-211.9330067345345,1797.8007099326546,long
2020-07-13 15:57,307.6704696816023,1810.606734696816,long
2020-07-15 15:29,181.77756784057237,1810.6977756784058,long
2020-07-16 14:32,-189.0463001261196,1806.8495269987388,long
2020-07-17 14:34,-4.638994238030136,1808.4536100576197,long
2020-07-20 14:33,1.9062107074660162,1817.5390821070746,long
2020-07-21 15:07,-8.613654781902369,1838.593913452181,long
2020-07-22 13:40,-13.947978694841368,1853.6205302130516,long
2020-07-22 15:15,962.4374780196149,1867.2043347801962,long
2020-07-23 13:51,873.1430333498565,1884.6014303334985,long
2020-07-24 15:47,-139.44763722381595,1899.2954636277618,long
2020-07-27 13:12,-437.6568202705812,1933.2234117972941,long
2020-07-27 14:33,-14.085027773057845,1941.5991397222695,long
2020-08-06 14:59,-459.83600572490104,2056.281519942751,long
2020-08-12 15:46,198.63378755831036,1945.166387875583,long
2020-08-13 13:20,-231.6928473650023,1930.88302152635,long
2020-08-13 15:11,-463.2237174961574,1944.2177428250384,long
2020-08-18 13:34,-355.1721014738632,2010.5582689852613,long
2020-08-24 14:09,-180.64075699478508,1940.3835324300521,long
2020-08-24 15:39,-327.7469535371665,1930.4725304646283,long
2020-09-10 15:33,-33.18100515871265,1959.1982199484128,long
2020-09-14 13:54,-37.55092368107853,1957.5345207631892,long
