feature,bin,count,win_rate,pf,avg_pips,is_secondary
tf_30m_up,"(-0.001, 1.0]",1269.0,0.36879432624113473,1.194347603636263,18.739763117910123,False
lower_wick_pct,"(0.016, 0.118]",356.0,0.3539325842696629,1.152655644538849,17.642482704160827,False
lower_wick_pct,"(0.118, 0.221]",292.0,0.3972602739726027,1.362364674480439,39.12978896711926,False
lower_wick_pct,"(0.221, 0.271]",178.0,0.4157303370786517,1.3999550782561188,25.413658503735945,False
lower_wick_pct,"(0.271, 0.573]",299.0,0.3277591973244147,1.0094543153496993,0.925750850374652,False
lower_wick_pct,"(0.573, 0.947]",144.0,0.375,1.1399756766970304,8.845183733478102,False
body_pct,"(0.014100000000000001, 0.0351]",290.0,0.3931034482758621,1.4799620911669693,40.93623309393965,False
body_pct,"(0.0351, 0.25]",316.0,0.34177215189873417,1.1537299658977098,10.21870921802235,False
body_pct,"(0.25, 0.475]",307.0,0.39087947882736157,1.0676281301927617,7.8156867876518845,False
body_pct,"(0.475, 0.71]",126.0,0.373015873015873,1.3795128776953929,33.678875558058955,False
body_pct,"(0.71, 0.912]",230.0,0.34347826086956523,1.0679933443001781,8.857328358112285,False
up_count,"(-0.001, 2.0]",1036.0,0.3638996138996139,1.2118261518599474,19.067610525492817,False
up_count,"(2.0, 5.0]",233.0,0.3905579399141631,1.1383462688704502,17.28203816402312,False
upper_wick_pct,"(0.016999999999999998, 0.053]",374.0,0.35561497326203206,1.0847620301138627,8.852652352905542,False
upper_wick_pct,"(0.053, 0.208]",278.0,0.3920863309352518,1.214128150280867,22.98625779405742,False
upper_wick_pct,"(0.208, 0.329]",147.0,0.24489795918367346,0.8238713489461387,-12.720012531772198,False
upper_wick_pct,"(0.329, 0.491]",324.0,0.4012345679012346,1.1967036501103414,16.51768040877213,False
upper_wick_pct,"(0.491, 0.776]",146.0,0.410958904109589,1.677835144148582,72.58767903850446,False
dow,"(-0.001, 1.0]",299.0,0.3277591973244147,1.0094543153496993,0.925750850374652,False
dow,"(1.0, 4.0]",563.0,0.3747779751332149,1.117293294422723,12.102293487402164,False
dow,"(4.0, 5.0]",261.0,0.3793103448275862,1.3147080532891249,23.343170572171854,False
dow,"(5.0, 6.0]",146.0,0.410958904109589,1.677835144148582,72.58767903850446,False
