feature,mutual_info,corr,auc,is_secondary
tf_30m_up,0.03354936083496951,0.02139200682334771,0.5085830212234707,False
sec_is_ny_late,0.022831714367586242,,0.5,True
lower_wick_pct,0.022180137844604486,-0.02088229981570706,0.493447026686727,False
sec_london_open_range_atr,0.021711412851614043,,0.5,True
ema_dist_atr,0.02137956166278876,,0.5,False
body_pct,0.018381505108368446,-0.007172368357500432,0.4956211253027733,False
sec_entry_below_asia_low,0.01452919360250271,,0.5,True
sec_asia_range_atr,0.014483673698631128,,0.5,True
up_count,0.012799434164093348,0.02508116694857752,0.5125497508456309,False
sec_is_off,0.012345837078375776,,0.5,True
sec_entry_above_asia_high,0.01216968611222069,,0.5,True
upper_wick_pct,0.011552097400224781,0.0326166401733775,0.514899911435492,False
dow,0.009678856447512985,0.04549826675675267,0.5268534524152502,False
tf_1h_up,0.00735303589067815,0.02139200682334771,0.5085830212234707,False
tf_15m_up,0.006975927195206788,0.02139200682334771,0.5085830212234707,False
hour,0.006871874310207637,,0.5,False
range,0.004479846471337368,-0.005018810277399957,0.4954050492440006,False
close,0.004183605184353789,0.007964490766302932,0.5123603508434968,False
sec_asia_range,0.0030302121326635234,-0.005018810277399957,0.4954050492440006,True
low,0.0022132263005816277,0.025349951845094986,0.5222571678564188,False
sec_is_asia,0.001166844645434706,,0.5,True
high,0.0,0.012692666116726838,0.5045335958257307,False
open,0.0,0.023973355730285466,0.5081882155852193,False
atr14,0.0,,0.5,False
ema_dist,0.0,0.007806752311916418,0.5123603508434968,False
ema200,0.0,0.014418135999691752,0.5139182325511913,False
tf_5m_up,0.0,0.025790686390654762,0.5122323057716316,False
sec_london_open_range,0.0,,0.5,True
tf_1m_up,0.0,0.025790686390654762,0.5122323057716316,False
sec_is_london,0.0,,0.5,True
sec_is_overlap,0.0,,0.5,True
