split,filter,count,win_rate,avg_pips,total_pips,profit_factor,avg_win,avg_loss,largest_win,largest_loss
train,all,1743,34.93975903614458,9.134008699688913,15920.577163557775,1.1031686057761614,279.5347780881541,-136.08121930522756,2690.873689510522,-517.8556660728646
train,news,101,36.633663366336634,38.69498933921716,3908.193923260933,1.331045590074103,424.6973049229665,-184.4625993576379,1609.364984226545,-458.0868510568053
train,no_news,1642,34.835566382460414,7.3157023387922315,12012.383240296844,1.084291217484835,270.1448943593289,-133.1873797506909,2690.873689510522,-517.8556660728646
val,all,373,38.069705093833775,26.563270878192935,9908.100037565964,1.2317617669905636,370.8403351104042,-185.07024912602353,3165.764046690515,-515.3773058418665
val,news,30,46.666666666666664,239.70972650362455,7191.291795108737,3.471350976489448,721.5110287176931,-181.86641293368524,3165.764046690515,-368.5375373439229
val,no_news,343,37.31778425655977,7.920723738942354,2716.8082424572276,1.0681906417229612,332.485727997107,-185.3086741449882,2730.4993965220547,-515.3773058418665
test,all,374,37.967914438502675,14.93761925638254,5586.66960188707,1.1099758255847543,397.082669391401,-218.96150625729248,1929.130224670689,-503.2164612791348
test,news,9,66.66666666666666,156.63093304670434,1409.678397420339,2.6352773063591743,378.62013530674784,-287.34747147338265,985.6523014896084,-370.628856917574
test,no_news,365,37.26027397260274,11.443811519086934,4176.991204466731,1.0836451717750264,397.8971929539592,-218.06562025009484,1929.130224670689,-503.2164612791348
