Weekday,MonthNum,Month,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Thursday,4,April,14,6.0,0.0,6.0,0.5,-439.0,0.3398496240601504,-73.16666666666667
Thursday,4,April,15,8.0,0.0,8.0,0.5,-312.0,0.5611814345991561,-39.0
Friday,4,April,13,7.0,0.0,7.0,0.2857142857142857,-604.0,0.1771117166212534,-86.28571428571429
Friday,4,April,14,4.0,0.0,4.0,0.25,-189.0,0.7105666156202144,-47.25
Friday,4,April,15,4.0,0.0,4.0,0.5,6.0,1.0272727272727273,1.5
Monday,5,May,13,10.0,0.0,10.0,0.4,994.0,1.8867082961641393,99.4
Monday,5,May,14,6.0,0.0,6.0,0.6666666666666666,89.0,1.3308550185873607,14.833333333333334
Monday,5,May,15,6.0,0.0,6.0,0.3333333333333333,-553.0,0.07058823529411765,-92.16666666666667
Tuesday,5,May,13,9.0,0.0,9.0,0.4444444444444444,211.0,1.2283549783549783,23.444444444444443
Tuesday,5,May,14,4.0,0.0,4.0,0.25,-82.0,0.6962962962962963,-20.5
Tuesday,5,May,15,3.0,0.0,3.0,0.3333333333333333,2.0,1.011764705882353,0.6666666666666666
Wednesday,5,May,13,6.0,0.0,6.0,0.8333333333333334,394.0,3.2134831460674156,65.66666666666667
Wednesday,5,May,14,4.0,0.0,4.0,0.25,-146.0,0.3113207547169811,-36.5
Wednesday,5,May,15,8.0,0.0,8.0,0.125,-875.0,0.13452027695351138,-109.375
Thursday,5,May,13,5.0,0.0,5.0,0.8,3118.0,32.816326530612244,623.6
Thursday,5,May,14,2.0,0.0,2.0,0.5,-60.0,0.6842105263157895,-30.0
Thursday,5,May,15,5.0,0.0,5.0,0.2,-843.0,0.06850828729281767,-168.6
Friday,5,May,13,7.0,0.0,7.0,0.42857142857142855,-557.0,0.3281061519903498,-79.57142857142857
Friday,5,May,14,8.0,0.0,8.0,0.5,376.0,2.3101045296167246,47.0
Friday,5,May,15,12.0,0.0,12.0,0.25,-479.0,0.3689064558629776,-39.916666666666664
Monday,6,June,13,5.0,0.0,5.0,0.6,93.0,1.2727272727272727,18.6
Monday,6,June,14,6.0,0.0,6.0,0.8333333333333334,1167.0,9.160839160839162,194.5
Monday,6,June,15,5.0,0.0,5.0,0.4,195.0,1.5571428571428572,39.0
Tuesday,6,June,13,5.0,0.0,5.0,0.2,-298.0,0.5724533715925395,-59.6
Tuesday,6,June,14,4.0,0.0,4.0,0.25,-498.0,0.20447284345047922,-124.5
Tuesday,6,June,15,5.0,0.0,5.0,0.4,-438.0,0.3113207547169811,-87.6
Wednesday,6,June,13,6.0,0.0,6.0,0.3333333333333333,364.0,1.6803738317757009,60.666666666666664
Wednesday,6,June,14,3.0,0.0,3.0,0.6666666666666666,280.0,2.4507772020725387,93.33333333333333
Wednesday,6,June,15,3.0,0.0,3.0,0.3333333333333333,-258.0,0.015267175572519083,-86.0
Thursday,6,June,13,3.0,1.0,2.0,0.0,-158.0,0.0,-52.666666666666664
Thursday,6,June,14,4.0,0.0,4.0,1.0,2210.0,inf,552.5
Thursday,6,June,15,5.0,0.0,5.0,0.6,41.0,1.119186046511628,8.2
Friday,6,June,13,7.0,0.0,7.0,0.2857142857142857,-204.0,0.695067264573991,-29.142857142857142
Friday,6,June,14,5.0,0.0,5.0,0.2,-1292.0,0.10896551724137932,-258.4
Friday,6,June,15,9.0,0.0,9.0,0.3333333333333333,-656.0,0.34530938123752497,-72.88888888888889
Monday,7,July,13,16.0,1.0,15.0,0.2,-1306.0,0.32049947970863685,-81.625
Monday,7,July,14,6.0,0.0,6.0,0.16666666666666666,-489.0,0.004073319755600814,-81.5
Monday,7,July,15,6.0,0.0,6.0,0.5,349.0,3.102409638554217,58.166666666666664
Tuesday,7,July,13,9.0,0.0,9.0,0.4444444444444444,1536.0,4.531034482758621,170.66666666666666
Tuesday,7,July,14,3.0,0.0,3.0,0.0,-501.0,0.0,-167.0
Tuesday,7,July,15,8.0,0.0,8.0,0.25,-138.0,0.8335343787696019,-17.25
Wednesday,7,July,13,4.0,0.0,4.0,0.5,71.0,1.377659574468085,17.75
Wednesday,7,July,14,11.0,0.0,11.0,0.36363636363636365,-660.0,0.4387755102040816,-60.0
Wednesday,7,July,15,10.0,0.0,10.0,0.3,686.0,1.8448275862068966,68.6
Thursday,7,July,13,5.0,0.0,5.0,0.2,197.0,1.2914201183431953,39.4
Thursday,7,July,14,13.0,0.0,13.0,0.46153846153846156,166.0,1.1189964157706094,12.76923076923077
Thursday,7,July,15,2.0,0.0,2.0,0.0,-256.0,0.0,-128.0
Friday,7,July,13,5.0,0.0,5.0,0.4,188.0,1.6103896103896105,37.6
Friday,7,July,14,9.0,0.0,9.0,0.3333333333333333,565.0,1.9658119658119657,62.77777777777778
