feature,mutual_info,corr,auc,is_secondary
entry_dist_stop_atr,0.10901714863656897,0.2752159013968236,0.5723203010123264,False
side_x_body,0.050169946731778214,0.02549064559680982,0.5169691071094248,False
entry_body_pct,0.03333659756964047,0.2012117288069673,0.6222242011722707,False
side_x_relevant_wick,0.027274754503246124,0.01260796774305686,0.5123569458692495,False
side_encoded,0.01897496809266408,0.021596271978775915,0.5112553563126832,False
entry_lower_wick_pct,0.014078249301198609,-0.12282990367732814,0.4277294843845648,False
relevant_wick,0.009917518717899032,-0.11643750521838657,0.4249043384116775,False
entry_upper_wick_pct,0.003373565287354552,-0.12536966685972933,0.4250463319732337,False
entry_range_atr,0.0017060674121507358,0.11061539246586345,0.5567511452394291,False
hour,0.0,0.030674416339726087,0.5174441719882115,False
dow,0.0,0.002368261873295659,0.5017267118287998,False
atr14,0.0,0.04061701026438288,0.5330441806831258,False
recent_range_atr,0.0,-0.004200184454156806,0.49365902332270545,False
recent_body_atr,0.0,0.0410105230766356,0.5230260966636071,False
recent_momentum,0.0,0.011358500843264785,0.5072045078923878,False
