feature,bin,count,win_rate,pf,avg_pips,is_secondary
entry_dist_stop_atr,"(-0.0006460000000000001, 0.252]",498,0.41365461847389556,0.6484912783546009,-8.616494629317245,False
entry_dist_stop_atr,"(0.252, 0.483]",498,0.3032128514056225,0.40129941905436645,-47.388285620822856,False
entry_dist_stop_atr,"(0.483, 0.747]",498,0.22289156626506024,0.31127610433901387,-87.08812809579092,False
entry_dist_stop_atr,"(0.747, 1.082]",498,0.22088353413654618,0.33239189979026024,-112.72966710712531,False
entry_dist_stop_atr,"(1.082, 18.396]",498,0.6325301204819277,4.229282447812242,318.90560116191335,False
side_x_body,"(-1.001, -0.614]",498,0.4939759036144578,2.163882529090709,81.52263067911062,False
side_x_body,"(-0.614, -0.266]",498,0.2751004016064257,0.7987471082402042,-23.423081037070226,False
side_x_body,"(-0.266, 0.325]",498,0.21887550200803213,0.48662175632568794,-71.66528189105347,False
side_x_body,"(0.325, 0.639]",498,0.2991967871485944,0.7352172362895273,-28.765258840838353,False
side_x_body,"(0.639, 1.0]",498,0.5060240963855421,2.6716195169526835,105.41401679870847,False
entry_body_pct,"(-0.001, 0.296]",498,0.21686746987951808,0.46060609163175975,-76.22478265817087,False
entry_body_pct,"(0.296, 0.481]",498,0.2389558232931727,0.5301292851506242,-59.141494927562036,False
entry_body_pct,"(0.481, 0.627]",498,0.3313253012048193,1.0636974371672736,6.320644008592051,False
entry_body_pct,"(0.627, 0.773]",498,0.4578313253012048,1.9105265376461864,68.04914078065886,False
entry_body_pct,"(0.773, 1.0]",498,0.5481927710843374,3.1931754506928507,124.07951850533907,False
side_encoded,"(-1.001, 1.0]",2490,0.3586345381526104,1.1267430633682354,12.616605141771409,False
recent_body_atr,"(0.031, 0.307]",498,0.3614457831325301,1.1300982056539437,11.207578119007373,False
recent_body_atr,"(0.307, 0.431]",498,0.3855421686746988,1.45237445086985,40.61626689866282,False
recent_body_atr,"(0.431, 0.556]",498,0.3534136546184739,1.0346769151231998,3.414895602556323,False
recent_body_atr,"(0.556, 0.727]",499,0.33266533066132264,1.0043321816115383,0.47143417444350527,False
recent_body_atr,"(0.727, 2.528]",497,0.36016096579476864,1.064510445584154,7.386737064568801,False
atr14,"(0.455, 1.5]",498,0.2971887550200803,0.8755617007187113,-7.607289882751768,False
atr14,"(1.5, 2.124]",498,0.35542168674698793,1.0856028320563114,6.550186099792403,False
atr14,"(2.124, 2.851]",498,0.37751004016064255,1.2753811629880507,28.103404239870727,False
atr14,"(2.851, 3.814]",498,0.40763052208835343,1.2703566814420053,30.77818195547548,False
atr14,"(3.814, 12.136]",498,0.35542168674698793,1.0364729037608151,5.258543296470207,False
entry_lower_wick_pct,"(-0.001, 0.0552]",498,0.40963855421686746,1.5722227370096526,48.85641306521084,False
entry_lower_wick_pct,"(0.0552, 0.135]",498,0.42369477911646586,1.7881110588465536,60.91002922796684,False
entry_lower_wick_pct,"(0.135, 0.248]",498,0.41164658634538154,1.3653101777138508,32.40391194904288,False
entry_lower_wick_pct,"(0.248, 0.397]",498,0.321285140562249,1.0108517239839216,1.1269257898005476,False
entry_lower_wick_pct,"(0.397, 0.942]",498,0.22690763052208834,0.43712235540557004,-80.21425432316406,False
entry_upper_wick_pct,"(-0.001, 0.0594]",498,0.4738955823293173,1.775711995161677,62.54368215696293,False
entry_upper_wick_pct,"(0.0594, 0.137]",498,0.40160642570281124,1.5493475518509727,48.64664052069846,False
entry_upper_wick_pct,"(0.137, 0.233]",498,0.3614457831325301,1.1773363206808694,17.819675905957546,False
entry_upper_wick_pct,"(0.233, 0.385]",498,0.3232931726907631,0.8653619656161674,-12.973783975414417,False
entry_upper_wick_pct,"(0.385, 0.954]",498,0.23293172690763053,0.5979167783408555,-52.953188899347474,False
entry_range_atr,"(0.254, 0.876]",498,0.3032128514056225,0.7430321444827162,-23.94426541470798,False
entry_range_atr,"(0.876, 1.139]",498,0.3674698795180723,0.9990740456666248,-0.09231306398048097,False
entry_range_atr,"(1.139, 1.408]",498,0.3353413654618474,0.8587306206770803,-14.8426833998363,False
entry_range_atr,"(1.408, 1.795]",498,0.3514056224899598,1.033249544103186,3.5047168743697306,False
entry_range_atr,"(1.795, 5.325]",498,0.4357429718875502,2.0432518666945407,98.45757071301209,False
relevant_wick,"(-0.001, 0.0341]",498,0.40963855421686746,1.2857925419278504,25.86337424799446,False
relevant_wick,"(0.0341, 0.0996]",498,0.3855421686746988,1.461889263031457,42.10392647994504,False
relevant_wick,"(0.0996, 0.187]",498,0.3654618473895582,1.051819383761937,5.231107047963457,False
relevant_wick,"(0.187, 0.323]",498,0.3333333333333333,1.0653377732578733,6.512197962189542,False
relevant_wick,"(0.323, 0.918]",498,0.2991967871485944,0.8559786754653724,-16.627580029235453,False
dow,"(-0.001, 1.0]",1012,0.358695652173913,1.098791793328041,9.781351512173938,False
dow,"(1.0, 2.0]",499,0.3466933867735471,1.0934725702817025,9.296443523277011,False
dow,"(2.0, 3.0]",494,0.3724696356275304,1.1044707633244297,10.325556984701246,False
dow,"(3.0, 5.0]",485,0.35670103092783506,1.2392971761141314,24.282203307491013,False
hour,"(12.999, 14.0]",1702,0.3507638072855464,1.1582287789706518,16.71093214845625,False
hour,"(14.0, 15.0]",788,0.3756345177664975,1.0436524258403312,3.773274475048567,False
recent_range_atr,"(0.254, 0.865]",498,0.3534136546184739,1.1322939533593825,11.38639968356779,False
recent_range_atr,"(0.865, 1.017]",498,0.3815261044176707,1.1874359202794562,17.489674254610314,False
