case,total_trades,evaluated_trades,win_rate_pct,net_pips,profit_factor,max_drawdown_pips
up_buy_only,1269,1265,36.84,23784,1.1943740703813275,-7070
down_sell_only,1110,1110,36.49,6237,1.0559176610871535,-9919
