case,type,bucket,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
up_buy_sell,top_weekday,Weekday=Thursday,492,0.3719512195121951,5115.0,1.1047790728639613,10.354251012145747
up_buy_sell,worst_weekday,Weekday=Monday,508,0.3562992125984252,-3094.0,0.9330838938512448,-6.066666666666666
up_buy_sell,worst_weekday,Weekday=Wednesday,499,0.3466933867735471,4630.0,1.0932941081647458,9.278557114228455
up_buy_sell,worst_weekday,Weekday=Thursday,492,0.3719512195121951,5115.0,1.1047790728639613,10.354251012145747
up_sell_only,top_hour,Hour=15,406,0.3669950738916256,3854.0,1.1075905195276514,9.492610837438423
up_sell_only,top_hour,Hour=14,402,0.3557213930348258,2270.0,1.0524515920329036,5.646766169154229
up_sell_only,top_hour,Hour=13,412,0.3228155339805825,1517.0,1.032696079487898,3.6731234866828086
up_sell_only,worst_hour,Hour=13,412,0.3228155339805825,1517.0,1.032696079487898,3.6731234866828086
up_sell_only,worst_hour,Hour=14,402,0.3557213930348258,2270.0,1.0524515920329036,5.646766169154229
up_sell_only,worst_hour,Hour=15,406,0.3669950738916256,3854.0,1.1075905195276514,9.492610837438423
