Weekday,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,13,93.0,1.0,92.0,0.31521739130434784,-3275.0,0.6571039681708721,-35.215053763440864
Monday,14,68.0,0.0,68.0,0.35294117647058826,701.0,1.1142065819485174,10.308823529411764
Monday,15,85.0,0.0,85.0,0.35294117647058826,-1855.0,0.6866024666328772,-21.823529411764707
Tuesday,13,78.0,0.0,78.0,0.24358974358974358,-3940.0,0.6605496683036098,-50.51282051282051
Tuesday,14,90.0,0.0,90.0,0.36666666666666664,-844.0,0.9114840062926062,-9.377777777777778
Tuesday,15,86.0,0.0,86.0,0.38372093023255816,6650.0,1.8015911282545805,77.32558139534883
Wednesday,13,88.0,0.0,88.0,0.36363636363636365,2860.0,1.3475935828877006,32.5
Wednesday,14,84.0,0.0,84.0,0.2976190476190476,865.0,1.0906613562519651,10.297619047619047
Wednesday,15,78.0,0.0,78.0,0.32051282051282054,-3523.0,0.5883864937492698,-45.166666666666664
Thursday,13,70.0,0.0,70.0,0.35714285714285715,1077.0,1.1412459016393444,15.385714285714286
Thursday,14,86.0,0.0,86.0,0.43023255813953487,2632.0,1.3002509696554871,30.6046511627907
Thursday,15,78.0,0.0,78.0,0.3717948717948718,704.0,1.1280232769594472,9.025641025641026
Friday,13,81.0,0.0,81.0,0.345679012345679,4833.0,1.5170089858793325,59.666666666666664
Friday,14,74.0,0.0,74.0,0.32432432432432434,-1084.0,0.8834157883415789,-14.64864864864865
Friday,15,79.0,0.0,79.0,0.4050632911392405,1878.0,1.2488076311605723,23.772151898734176
Saturday,13,3.0,0.0,3.0,0.0,-38.0,0.0,-12.666666666666666
