YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2015-01,6.0,0.0,6.0,0.5,707.0,1.7258726899383983,117.83333333333333
2015-02,4.0,0.0,4.0,0.25,608.0,5.571428571428571,152.0
2015-03,7.0,0.0,7.0,0.42857142857142855,-238.0,0.48596112311015116,-34.0
2015-04,9.0,0.0,9.0,0.3333333333333333,179.0,1.2841269841269842,19.88888888888889
2015-05,11.0,0.0,11.0,0.45454545454545453,-468.0,0.39845758354755784,-42.54545454545455
2015-06,5.0,0.0,5.0,0.4,99.0,1.2097457627118644,19.8
2015-08,8.0,0.0,8.0,0.375,-323.0,0.6051344743276283,-40.375
2015-09,4.0,0.0,4.0,0.25,-103.0,0.735897435897436,-25.75
2015-10,15.0,0.0,15.0,0.13333333333333333,-347.0,0.7803797468354431,-23.133333333333333
2015-11,5.0,0.0,5.0,0.2,35.0,1.2058823529411764,7.0
2015-12,3.0,0.0,3.0,0.6666666666666666,104.0,2.464788732394366,34.666666666666664
2016-01,10.0,0.0,10.0,0.5,334.0,1.7046413502109705,33.4
2016-02,13.0,0.0,13.0,0.3076923076923077,-659.0,0.6109799291617474,-50.69230769230769
2016-03,11.0,0.0,11.0,0.45454545454545453,-152.0,0.8424870466321244,-13.818181818181818
2016-04,6.0,0.0,6.0,0.16666666666666666,-800.0,0.19517102615694165,-133.33333333333334
2016-05,2.0,0.0,2.0,0.5,-61.0,0.5704225352112676,-30.5
2016-06,9.0,0.0,9.0,0.4444444444444444,970.0,2.6059602649006623,107.77777777777777
2016-07,13.0,0.0,13.0,0.5384615384615384,466.0,1.761437908496732,35.84615384615385
2016-08,6.0,0.0,6.0,0.3333333333333333,59.0,1.0766233766233766,9.833333333333334
2016-09,11.0,0.0,11.0,0.5454545454545454,1179.0,4.13563829787234,107.18181818181819
2016-10,14.0,0.0,14.0,0.6428571428571429,228.0,1.2957198443579767,16.285714285714285
2016-11,13.0,0.0,13.0,0.38461538461538464,258.0,1.2606060606060605,19.846153846153847
2016-12,9.0,0.0,9.0,0.2222222222222222,-102.0,0.8608458390177354,-11.333333333333334
2017-01,10.0,0.0,10.0,0.2,15.0,1.0204081632653061,1.5
2017-02,10.0,0.0,10.0,0.5,-145.0,0.7151277013752456,-14.5
2017-03,15.0,0.0,15.0,0.26666666666666666,-380.0,0.5991561181434599,-25.333333333333332
2017-04,5.0,0.0,5.0,0.2,-249.0,0.3447368421052632,-49.8
2017-05,13.0,0.0,13.0,0.07692307692307693,-1046.0,0.0677361853832442,-80.46153846153847
2017-06,12.0,0.0,12.0,0.3333333333333333,-349.0,0.4814264487369985,-29.083333333333332
2017-07,13.0,0.0,13.0,0.23076923076923078,-636.0,0.14745308310991956,-48.92307692307692
2017-08,12.0,0.0,12.0,0.25,1147.0,2.4667519181585678,95.58333333333333
2017-09,10.0,0.0,10.0,0.4,-536.0,0.18042813455657492,-53.6
2017-10,5.0,0.0,5.0,0.4,-9.0,0.9598214285714286,-1.8
2017-11,12.0,0.0,12.0,0.16666666666666666,-338.0,0.4815950920245399,-28.166666666666668
2017-12,14.0,0.0,14.0,0.21428571428571427,-621.0,0.3959143968871595,-44.357142857142854
2018-01,14.0,0.0,14.0,0.35714285714285715,-120.0,0.8702702702702703,-8.571428571428571
2018-02,13.0,0.0,13.0,0.23076923076923078,848.0,1.8787564766839377,65.23076923076923
2018-03,12.0,0.0,12.0,0.25,-19.0,0.9807302231237323,-1.5833333333333333
2018-04,8.0,0.0,8.0,0.25,466.0,1.7577235772357724,58.25
2018-05,5.0,0.0,5.0,0.8,200.0,4.571428571428571,40.0
2018-06,5.0,0.0,5.0,0.2,-8.0,0.95,-1.6
2018-07,7.0,0.0,7.0,0.2857142857142857,29.0,1.120331950207469,4.142857142857143
2018-08,7.0,0.0,7.0,0.5714285714285714,531.0,3.3187772925764194,75.85714285714286
2018-09,10.0,0.0,10.0,0.4,550.0,1.9981851179673322,55.0
2018-10,12.0,0.0,12.0,0.4166666666666667,45.0,1.0510783200908058,3.75
2018-11,13.0,0.0,13.0,0.5384615384615384,453.0,1.867816091954023,34.84615384615385
2018-12,17.0,0.0,17.0,0.17647058823529413,-1071.0,0.20784023668639054,-63.0
2019-01,14.0,0.0,14.0,0.5,1384.0,2.5799086757990866,98.85714285714286
2019-02,9.0,0.0,9.0,0.3333333333333333,-94.0,0.8464052287581699,-10.444444444444445
2019-03,12.0,0.0,12.0,0.3333333333333333,501.0,2.2493765586034913,41.75
2019-04,6.0,0.0,6.0,0.16666666666666666,-185.0,0.4236760124610592,-30.833333333333332
2019-05,8.0,0.0,8.0,0.375,-154.0,0.5686274509803921,-19.25
2019-06,9.0,0.0,9.0,0.1111111111111111,131.0,1.150229357798165,14.555555555555555
2019-07,8.0,0.0,8.0,0.375,704.0,3.0952380952380953,88.0
2019-08,8.0,0.0,8.0,0.25,673.0,1.508692365835223,84.125
2019-09,13.0,0.0,13.0,0.46153846153846156,2921.0,3.2838154808444098,224.69230769230768
2019-10,10.0,0.0,10.0,0.2,-28.0,0.9699570815450643,-2.8
2019-11,2.0,0.0,2.0,0.5,708.0,23.838709677419356,354.0
2019-12,17.0,0.0,17.0,0.11764705882352941,-1711.0,0.10042060988433228,-100.6470588235294
2020-01,16.0,0.0,16.0,0.4375,442.0,1.3230994152046784,27.625
2020-02,10.0,0.0,10.0,0.3,-256.0,0.6604774535809018,-25.6
2020-03,6.0,0.0,6.0,0.5,248.0,1.5890736342042755,41.333333333333336
