Weekday,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,246.0,1.0,245.0,0.33877551020408164,-4429.0,0.7950296186597556,-18.004065040650406
Tuesday,254.0,0.0,254.0,0.3346456692913386,1866.0,1.0633874583871188,7.346456692913386
Wednesday,250.0,0.0,250.0,0.328,202.0,1.0076724399878456,0.808
Thursday,234.0,0.0,234.0,0.3888888888888889,4413.0,1.2015989036089538,18.858974358974358
Friday,234.0,0.0,234.0,0.358974358974359,5627.0,1.214820187829274,24.04700854700855
Saturday,3.0,0.0,3.0,0.0,-38.0,0.0,-12.666666666666666
