entry_time,exit_time,side,entry,exit,final_stop,pips
2020-05-08 15:53:00+00:00,2020-05-08 16:06:00+00:00,long,1715.60999,1713.9593825745574,1713.9593825745574,-165.06074254425585
2020-05-12 13:21:00+00:00,2020-05-12 13:48:00+00:00,long,1702.060059,1703.7377116997257,1703.7377116997257,167.76526997257406
2020-05-13 14:31:00+00:00,2020-05-13 14:58:00+00:00,long,1712.96997,1712.5589741347565,1712.5589741347565,-41.099586524364895
2020-05-13 15:11:00+00:00,2020-05-13 15:48:00+00:00,long,1715.030029,1714.3727963186118,1714.3727963186118,-65.72326813882228
2020-05-14 13:33:00+00:00,2020-05-14 14:32:00+00:00,long,1719.18005,1729.7589125371376,1729.7589125371376,1057.8862537137638
2020-05-15 14:22:00+00:00,2020-05-15 14:45:00+00:00,long,1740.31995,1739.9364460920615,1739.9364460920615,-38.350390793857514
2020-05-15 15:48:00+00:00,2020-05-15 16:05:00+00:00,long,1746.30005,1746.4172373702504,1746.4172373702504,11.718737025034898
2020-05-18 13:30:00+00:00,2020-05-18 13:39:00+00:00,long,1748.58997,1745.4319428667586,1745.4319428667586,-315.8027133241376
2020-05-20 13:49:00+00:00,2020-05-20 14:01:00+00:00,long,1748.14001,1749.1464813168018,1749.1464813168018,100.64713168017079
2020-05-20 14:57:00+00:00,2020-05-20 15:10:00+00:00,long,1747.089966,1745.8941030626754,1745.8941030626754,-119.58629373245913
2020-05-28 14:15:00+00:00,2020-05-28 14:33:00+00:00,long,1723.33997,1721.4396455133638,1721.4396455133638,-190.03244866362365
2020-05-28 15:46:00+00:00,2020-05-28 16:09:00+00:00,long,1722.98999,1722.9482980234557,1722.9482980234557,-4.169197654437085
2020-05-29 15:25:00+00:00,2020-05-29 16:34:00+00:00,long,1734.53003,1734.2555937828295,1734.2555937828295,-27.443621717043243
2020-06-01 13:25:00+00:00,2020-06-01 13:52:00+00:00,long,1732.54004,1733.5691190512387,1733.5691190512387,102.90790512385684
2020-06-01 14:07:00+00:00,2020-06-01 15:49:00+00:00,long,1732.28003,1739.473909145674,1739.473909145674,719.3879145674146
2020-06-02 14:54:00+00:00,2020-06-02 15:02:00+00:00,long,1740.68005,1739.3310333028262,1739.3310333028262,-134.9016697173738
