feature,mutual_info,corr,auc,is_secondary
relevant_wick,0.013515309271916465,-0.03791589496916254,0.48088431714666713,False
entry_dist_stop_atr,0.012419956287396783,0.030610869122842534,0.5158325468022098,False
dow,0.012021071972168063,0.00535915465092967,0.5034787766482517,False
entry_upper_wick_pct,0.01117568369014954,-0.009836969094696514,0.4918702266941447,False
entry_lower_wick_pct,0.011096652858110012,-0.03890573899160606,0.475199104220425,False
side_x_relevant_wick,0.010327647567025311,0.006112796585417087,0.5086030449578303,False
side_encoded,0.006575933579860749,0.0225198514129209,0.5117205765200976,False
recent_momentum,0.0009241424628145811,0.022069708336234305,0.5114867819475954,False
atr14,0.0,0.028553152715579365,0.5251634938434095,False
hour,0.0,0.03202021613976715,0.5182435533311398,False
entry_body_pct,0.0,0.039706791430486325,0.5238919652598584,False
recent_body_atr,0.0,0.0030756040912141977,0.4972659023604593,False
recent_range_atr,0.0,-0.0077605531290363934,0.49434292901304056,False
entry_range_atr,0.0,0.016225712207671012,0.5077790814471018,False
side_x_body,0.0,0.019215063170389252,0.5110029570683892,False
